domain,top_email,tier,score,source_count,sources,source_urls,top_snippet,all_candidates
iansresearch.com,,,0,0,,,,
iasaglobal.org,contactus@iasaglobal.org,B,3,1,direct,https://www.iasaglobal.org/ | https://www.iasaglobal.org/contact-us/ | https://www.iasaglobal.org/privacy-policy/,"v class=""top-bar-info""> <ul class=""info-list""> <li class=""info-item""> <a href=""mailto:contactus@iasaglobal.org"" class=""info-link""> <i class=""info-icon far fa-envelope""></i> <span cla","contactus@iasaglobal.org(B,3,direct); dpo@iasaglobal.org(B,3,direct)"
icebreaker.xyz,,,0,0,,,,
icepanel.io,mail@icepanel.io,B,3,1,direct,https://icepanel.io/,"ut this form and our team will respond as soon as we can, alternatively email us at <a href=""mailto:mail@icepanel.io"" class=""font-semibold"">mail@icepanel.io</a>. </p></div><div class=""flex flex-col ga","mail@icepanel.io(B,3,direct)"
icmarkets.com,,,0,0,,,,
icustomer.ai,,,0,0,,,,
idadns.com,,,0,0,,,,
idc.com,idc_support@idc.com,B,3,1,direct,https://www.idc.com/contact/,"4323 <br>email: <a data-link=""secondary"" target=""_top"" href=""mailto:idc_support@idc.com"" class=""link secondary"">idc_support@idc.com</a></p> <h3>Japan</h3>","idc_support@idc.com(B,3,direct); jp_support@idc.com(B,3,direct); permissions@idc.com(B,3,direct); press@idc.com(B,3,direct)"
idealo.com,,,0,0,,,,
ideogram.ai,,,0,0,,,,
ifcroofing.com,info@ifcroofing.com,B,3,1,direct,https://www.ifcroofing.com/ | https://www.ifcroofing.com/contact | https://www.ifcroofing.com/privacy,"height:2em;""><span style=""text-decoration:underline;"" class=""wixui-rich-text__text""><a href=""mailto:Info@IFCRoofing.com?subject=IFC Contact Request"" target=""_self"" class=""wixui-rich-text__text""><span ","info@ifcroofing.com(B,3,direct)"
iggnita.com,info@iggnita.com,B,3,1,direct,https://iggnita.com/ | https://iggnita.com/urun/contact-bus-end-clamp-jenbacher-1242009-orijinal/,"iv> </div> <div class=""detail mail""> <i class=""flaticon-note""></i> <div> <span>E-posta:</span> info@iggnita.com </div> </div> <div class=""detail time""> <i class=""flaticon-wall-clock""></i> <div> <span>","info@iggnita.com(B,3,direct)"
ignisplanning.com,,,0,0,,,,
ihrdc.com,,,0,0,,,,
illumex.ai,,,0,0,,,,
ilogs.systems,,,0,0,,,,
imagine.art,,,0,0,,,,
imax.com,,,0,0,,,,
imperium.uk,hello@imperium.uk,B,3,1,direct,https://imperium.uk/ | https://imperium.uk/contact-us-04/ | https://imperium.uk/privacy/,"636"">+44 (0)20 3880 2636</a></div><div class=""gem-contacts-item gem-contacts-email""><a href=""mailto:hello@imperium.uk"">hello@imperium.uk</a></div></div></div> <div class=""top-area-block top-area-socia","hello@imperium.uk(B,3,direct)"
inboxally.com,privacy@inboxally.com,B,3,1,direct,https://www.inboxally.com/privacy-policy,ompliance with it should be directed to the Privacy Officer in writing and sent by email to: mailto:privacy@inboxally.com Every complaint or challenge regarding our compliance with this Policy will be,"privacy@inboxally.com(B,3,direct); support@inboxally.com(B,3,direct)"
inboxkit.com,support@inboxkit.com,B,3,1,direct,https://www.inboxkit.com/,"h=""4"" height=""12"" x=""2"" y=""9""></rect><circle cx=""4"" cy=""4"" r=""2""></circle></svg></a><a href=""mailto:support@inboxkit.com"" class=""inline-flex p-2 bg-gray-100 rounded-lg hover:bg-white hover:shadow-lg d","support@inboxkit.com(B,3,direct)"
incident.io,security@incident.io,A,5,1,direct,https://incident.io/.well-known/security.txt | https://incident.io/legal/vulnerability-disclosure,Contact: mailto:security@incident.io Policy: https://incident.io/legal/vulnerability-disclosure Expires: 2026-07-15T12:00:00Z,"security@incident.io(A,5,direct); legal@incident.io(B,3,direct); support@incident.io(B,3,direct)"
incomaker.com,,,0,0,,,,
incorpro.ie,info@incorpro.ie,B,3,1,direct,https://www.incorpro.ie/ | https://www.incorpro.ie/contact/,"Incorpro"", ""url"": ""https://www.incorpro.ie"", ""telephone"": ""+353-90-661-6893"", ""email"": ""info@incorpro.ie"", ""address"": { ""@type"": ""PostalAddress"", ""streetAddress"": ""Unit 2, 2 Bridge Str","info@incorpro.ie(B,3,direct)"
incube8.sg,,,0,0,,,,
indelible.co.nz,,,0,0,,,,
inderes.com,u003evictor.mustala@inderes.com,B,3,1,direct,https://www.inderes.fi/privacy,"\u003cbr\u003e\u003ca href=\""mailto:victor.mustala@inderes.com\"" target=\""_blank\"" rel=\""noopener\""\u003evictor.mustala@inderes.com\u003c/a\u003e\u003c/p\u003e\n\u003cp\u003e\u003cspan lang=\""FI\""\u00","u003evictor.mustala@inderes.com(B,3,direct); victor.mustala@inderes.com(B,3,direct)"
indicaonline.com,sales@indicaonline.com,B,3,1,direct,https://indicaonline.com/,"</a></li> <li class=""c-menu__item nd-menu__item""><a class=""c-menu__link nd-menu__link"" href=""mailto:sales@indicaonline.com"">sales@indicaonline.com</a></li> </ul> </div> </div>","sales@indicaonline.com(B,3,direct); support@indicaonline.com(B,3,direct)"
indmoney.com,,,0,0,,,,
infakt.pl,bugbounty@infakt.pl,A,5,1,direct,https://www.infakt.pl/.well-known/security.txt,Canonical: https://www.infakt.pl/.well-known/security.txt Contact: mailto:bugbounty@infakt.pl Contact: tel:+48223071918 Encryption: https://www.infakt.pl/.well-known/bugbounty.asc Expires: 2099,"bugbounty@infakt.pl(A,5,direct); info@infakt.pl(B,3,direct)"
infillion.com,,,0,0,,,,
inflection.io,security@inflection.io,A,5,1,direct,https://www.inflection.io/legal/privacy-policy | https://www.inflection.io/legal/terms,"ons.</p></li></ul><p>To request to exercise any of these rights, please email us at <a href=""mailto:security@inflection.io"">security@inflection.io</a> . As mentioned above, we will respond to your req","security@inflection.io(A,5,direct); support@inflection.io(B,3,direct)"
infloso.ai,,,0,0,,,,
influee.co,hello@influee.co,B,3,1,direct,https://influee.co/ | https://influee.co/privacy | https://influee.co/terms,"3; or send us an email to <a href=""mailto:legal@influee.co"">legal@influee.co </a>or <a href=""mailto:hello@influee.co"">hello@influee.co.</a></p><h3>Data Protection Officer</h3><p>Company has appointed ","hello@influee.co(B,3,direct); legal@influee.co(B,3,direct)"
influx.com,,,0,0,,,,
infrasure.ai,info@infrasure.ai,B,3,1,direct,https://www.infrasure.ai/,"y2=""12""></line><polyline points=""12 5 19 12 12 19""></polyline></svg></span></button><a href=""mailto:info@infrasure.ai"" class=""inline-flex items-center justify-center rounded-md font-semibold tracking-","info@infrasure.ai(B,3,direct)"
ingenious.build,security@ingenious.build,A,5,1,direct,https://www.ingenious.build/,"ivity history, and centralized project data management. For further questions email <a href=""mailto:security@ingenious.build?subject=INGENIOUS.BUILD%20SOC2%20Compliance"">security@ingenious.build</a>.<","security@ingenious.build(A,5,direct); legal@ingenious.build(B,3,direct)"
ingest.ai,daniel@ingest.ai,B,3,1,direct,https://www.ingest.ai/contact,"ebug"" value=1> --> <!-- <input type=""hidden"" name=""debugEmail"" value=""daniel@ingest.ai""> --> <!-- ---------------------------------------------------------------------- --> <d","daniel@ingest.ai(B,3,direct)"
inistate.com,inistatedemosession@inistate.com,B,3,1,direct,https://inistate.com/,"t-size: 1rem; opacity: 0.8;""> <a href=""https://outlook.office.com/book/InistateDemoSession@inistate.com/?ismsaljsauthenabled"" target=""_blank"">For teams of 50+ &rarr; book a procurement briefing</a>","inistatedemosession@inistate.com(B,3,direct)"
inki.tech,hello@inki.tech,B,3,1,direct,https://inki.tech/ | https://inki.tech/contact,"a-custom-class=\""body_text\""\u003E\u003Cspan style=\""font-size: 15px; color: #595959;\""\u003EEmail: hello@inki.tech\u003C\u002Fspan\u003E\u003C\u002Fspan\u003E\u003C\u002Fdiv\u003E\n\u003Cdiv style=\""","hello@inki.tech(B,3,direct); partners@inki.tech(B,3,direct); service@inki.tech(B,3,direct); support@inki.tech(B,3,direct); u003epartners@inki.tech(B,3,direct)"
insided.com,,,0,0,,,,
insiderone.com,,,0,0,,,,
insites.com,support@insites.com,B,3,1,direct,https://insites.com/legal/privacy,"is Privacy Policy or your personal data, please write to us by email to&nbsp;</span><a href=""mailto:support@insites.com"" target=""_blank"" style=""display: initial;"">support@insites.com</a><span style=""d","support@insites.com(B,3,direct)"
insource.co.jp,,,0,0,,,,
inspectionsupport.com,,,0,0,,,,
instabridge.com,support@instabridge.com,B,3,1,direct,https://help.instabridge.com/en/,"on-email csh-button-has-left-icon csh-font-sans-regular"" aria-label=""Send us an email"" href=""mailto:support@instabridge.com"" role=""button"">Send us an email</a></li></ul></div></div><div class=""csh-foo","support@instabridge.com(B,3,direct)"
instantdb.com,,,0,0,,,,
instantly.ai,,,0,0,,,,
instrumentl.com,security@instrumentl.com,A,5,1,direct,https://www.instrumentl.com/.well-known/security.txt,"# If you would like to report a security issue, # please contact us by email Contact: security@instrumentl.com","security@instrumentl.com(A,5,direct); hello@instrumentl.com(B,3,direct)"
insurely.com,,,0,0,,,,
intacct.com,,,0,0,,,,
intelimetrica.com,,,0,0,,,,
intellizence.com,info@intellizence.com,B,3,1,direct,https://intellizence.com/,"rcase;margin-bottom:10px;"">Intellizence </h3> <p>Phone: +1 (416) 887 4880<br/> <a href=""mailto:info@intellizence.com"">Email: info@intellizence.com</a><br/> <a href=""https://intellizence.com/get-in-tou","info@intellizence.com(B,3,direct)"
intentwise.com,hello@intentwise.com,B,3,1,direct,https://www.intentwise.com/contact,"r offices."", ""mainEntity"": { ""@type"": ""Organization"", ""name"": ""Intentwise"", ""email"": ""hello@intentwise.com"", ""telephone"": ""+1-866-346-8368"", ""address"": { ""@type"": ""PostalAddress"", ""addre","hello@intentwise.com(B,3,direct)"
intercom.com,security@intercom.com,A,5,1,direct,https://www.intercom.com/.well-known/security.txt,"w, only after reading the disclosure policy. Contact: https://bugcrowd.com/intercom Contact: mailto:security@intercom.com Preferred-Languages: en Canonical: https://app.intercom.com/.well-known/securi","security@intercom.com(A,5,direct); press@intercom.com(B,3,direct)"
interdiscount.ch,,,0,0,,,,
interlockgtm.com,contact@interlockgtm.com,B,3,1,direct,https://www.interlockgtm.com/ | https://www.interlockgtm.com/privacy-policy/,"or data sales.</li> <li>Port data to another provider.</li> <li>Submit requests via <a href=""mailto:contact@interlockgtm.com"">contact@interlockgtm.com. </a>We respond within 30 days.</li> </ul> <p>&nb","contact@interlockgtm.com(B,3,direct); hello@interlockgtm.com(B,3,direct)"
intuswindows.com,,,0,0,,,,
investdefy.com,,,0,0,,,,
investnext.com,legal@investnext.com,B,3,1,direct,https://www.investnext.com/legal/terms-conditions/,"at least thirty (30) days before for the end of the current Subscription term, by contacting Us at legal@investnext.com. Upon cancellation, You will not receive a refund for the Fees You already paid ","legal@investnext.com(B,3,direct); support@investnext.com(B,3,direct)"
ipolish.fashion,,,0,0,,,,
iproxy.online,ceo@iproxy.online,B,3,1,direct,https://iproxy.online/ | https://iproxy.online/contact-us | https://iproxy.online/privacy-policy,"u and to consult"",""telegram"":""Telegram support chat"",""whatsapp"":""WhatsApp support chat"",""ceoEmail"":""ceo@iproxy.online"",""invalidEmail"":""Email is incorrect"",""emptyFields"":""All fields must be filled in"",","ceo@iproxy.online(B,3,direct)"
item.app,,,0,0,,,,
itgenius.com,,,0,0,,,,
itstoday.org,,,0,0,,,,
iyengarnyc.org,info@iyengarnyc.org,B,3,1,direct,https://www.iyengarnyc.org/,"ist-unstyled""><li class=""list-item-3"">Phone: 212-691-YOGA (9642)</li><li class=""list-item-3"">Email: info@iyengarnyc.org</li><li class=""list-item-3"">Address: <br/><a href=""https://maps.app.goo.gl/mFmjb","info@iyengarnyc.org(B,3,direct)"
jahypotheques.ca,info@jahypotheques.ca,B,3,1,direct,https://jahypotheques.ca/ | https://jahypotheques.ca/contact,"data-styles-preset=""NnnZNawkI"" href=""mailto:info@jahypotheques.com"" target=""_blank"" rel=""noopener"">info@jahypotheques.ca</a><!--/$--></p></div></div></div></div><div class=""framer-ikote"" data-framer-n","info@jahypotheques.ca(B,3,direct)"
jam.dev,hello@jam.dev,B,3,1,direct,https://jam.dev/privacy,"quest by email with the subject line “Personal data request” to this email address: <a href=""mailto:hello@jam.dev"">hello@jam.dev</a>. Please see the JURISDICTION SPECIFIC NOTICES for additional inform","hello@jam.dev(B,3,direct)"
jam7.com,,,0,0,,,,
jambase.com,,,0,0,,,,
janet.ai,support@janet.ai,B,3,1,direct,https://janet.ai/ | https://janet.ai/privacy | https://janet.ai/terms,"ssors</a></div><div class=""div-block-4""><div class=""pricing-header"">Contact Us</div><a href=""mailto:support@janet.ai"" class=""pricing-list-item"">support@janet.ai</a></div></div></div></div></section><s","support@janet.ai(B,3,direct)"
jarvi.tech,,,0,0,,,,
jasper.ai,security@jasper.ai,A,5,1,direct,https://www.jasper.ai/security,"tactPoint"": { ""@type"": ""ContactPoint"", ""contactType"": ""Security"", ""email"": ""security@jasper.ai"" } } }, ""mainEntity"": { ""@type"": ""FAQPage"", ""mainEntity"": [ { ""","security@jasper.ai(A,5,direct); hey@jasper.ai(B,3,direct); legal@jasper.ai(B,3,direct); privacy@jasper.ai(B,3,direct)"
jepto.com,help@jepto.com,B,3,1,direct,https://www.jepto.com/privacy | https://www.jepto.com/terms,"his Privacy Policy or would like to exercise any of your rights, please email us at <a href=""mailto:help@jepto.com"" class=""link-4"">help@jepto.com</a>.</p></div></div></div><div class=""_1-column-d-item","help@jepto.com(B,3,direct)"
jibble.io,support@jibble.io,B,3,1,direct,https://www.jibble.io/ | https://www.jibble.io/court-case/indiana/overtime-violation/security-firm-back-wages | https://www.jibble.io/privacy,"go.png"", ""foundingDate"": ""2017"", ""contactPoint"": { ""@type"": ""ContactPoint"", ""email"": ""support@jibble.io"", ""phone"":""+14156505859"", ""contactType"": ""customer service"" } } </script> <s","support@jibble.io(B,3,direct)"
jobphoning.com,,,0,0,,,,
jobspikr.com,marketing@jobspikr.com,B,3,1,direct,https://www.jobspikr.com/contact-us/,"</a> </h3> <p class=""elementor-icon-box-description""> <a href=""mailto:marketing@jobspikr.com"">marketing@jobspikr.com</a> </p> </div> </div> </div> </div> </di","marketing@jobspikr.com(B,3,direct); sales@jobspikr.com(B,3,direct)"
joinotto.com,hello@joinotto.com,B,3,1,direct,https://joinotto.com/ | https://joinotto.com/terms,"class=""ot-footer-link"">Sitemap</a></div><div class=""ot-footer-help-text"">Need Help? <a href=""mailto:hello@joinotto.com"" class=""ot-footer-email"">hello@joinotto.com</a></div></div></div></div></section>","hello@joinotto.com(B,3,direct)"
joinswsh.com,policy@joinswsh.com,B,3,1,direct,https://www.joinswsh.com/terms,"ec-ae2d-897675ff18f7\"",\""version\"":10,\""type\"":\""text\"",\""properties\"":{\""title\"":[[\""Email: \""],[\""policy@joinswsh.com\"",[[\""a\"",\""mailto:policy@joinswsh.com\""]]]]},\""created_time\"":1744819212503,\""l","policy@joinswsh.com(B,3,direct)"
jointimecloud.com,info@jointimecloud.com,B,3,1,direct,https://jointimecloud.com/contact-us/,1300 940 831 &nbsp; United Kingdom (p) +44 2045 024840 &nbsp; United States (p) +1 844 844 0535 (e) info@jointimecloud.com Existing Customer? Save time by checking the Service Portal in your account b,"info@jointimecloud.com(B,3,direct)"
jollycommerce.io,,,0,0,,,,
jotform.com,legal@jotform.com,B,3,1,direct,https://www.jotform.com/terms/,"Giving Notice. </strong>Notices regarding this Agreement shall be in writing and addressed to us to legal@jotform.com.&nbsp;</p> <p class=""wp-block-paragraph""><strong>L. Force Majeure</strong>. Jotfor","legal@jotform.com(B,3,direct); privacy@jotform.com(B,3,direct); support@jotform.com(B,3,direct)"
joyn.one,,,0,0,,,,
jplug.io,hello@jplug.io,B,3,1,direct,https://jplug.io/ | https://jplug.io/.well-known/dnt-policy.txt | https://jplug.io/.well-known/security.txt,"ents, and offer a branded charging experience — hardware-agnostic, free to start."", ""email"": ""hello@jplug.io"", ""foundingLocation"": { ""@type"": ""Place"", ""address"": { ""@type"": ""Po","hello@jplug.io(B,3,direct)"
judgmentlabs.ai,,,0,0,,,,
july.com,,,0,0,,,,
jumpseller.com,,,0,0,,,,
junipergenomics.com,,,0,0,,,,
jurny.com,partner@jurny.com,B,3,1,direct,https://www.jurny.com/contact,"tnerships</span> <div class=""description""> <p><a href=""mailto:partner@jurny.com"" rel=""noopener"">partner@jurny.com</a></p> </div> </li>","partner@jurny.com(B,3,direct); sales@jurny.com(B,3,direct); support@jurny.com(B,3,direct)"
kadoa.com,,,0,0,,,,
kameobikes.com,info@kameobikes.com,B,3,1,direct,https://kameobikes.com/en,":""KAMEO Bikes — Liège"",""url"":""https://kameobikes.com/fr/contact"",""telephone"":""+3242907121"",""email"":""info@kameobikes.com"",""priceRange"":""€€"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Quai de R","info@kameobikes.com(B,3,direct); info_bxl@kameobikes.com(B,3,direct)"
kapoq.com,,,0,0,,,,
kapptivate.com,hello@kapptivate.com,B,3,1,direct,https://www.kapptivate.com/ | https://www.kapptivate.com/contact,"onday to Friday, from 9am to 7pm. You can reach us through the form below or by sending an email to hello@kapptivate.com"" name=""description""/><meta content=""Contact | kapptivate"" property=""og:title""/>","hello@kapptivate.com(B,3,direct)"
karbonhq.com,security@karbonhq.com,A,5,1,direct,https://karbonhq.com/.well-known/security.txt,# If you would like to report a security issue please use the details below: Contact: mailto:security@karbonhq.com Expires: 2026-09-12T23:00:00.000Z Preferred-Languages: en Policy: https://karbonhq.co,"security@karbonhq.com(A,5,direct); billing@karbonhq.com(B,3,direct); concierge@karbonhq.com(B,3,direct); partnerships@karbonhq.com(B,3,direct); pe-inquiries@karbonhq.com(B,3,direct); press@karbonhq.com(B,3,direct)"
karmelcapital.com,,,0,0,,,,
kashable.com,security@kashable.com,A,5,1,direct,https://kashable.com/security.html,"acts"">To submit a vulnerability, please send your report to <a href=""mailTo:security@kashable.com"">security@kashable.com</a> including: </div> <div class=""bounty-pro","security@kashable.com(A,5,direct); support@kashable.com(B,3,direct)"
katanamrp.com,,,0,0,,,,
katara.ai,hello@katara.ai,B,3,1,direct,https://katara.ai/,/div><div class=footer-divider></div><p class=copyright>Copyright © 2026 Katara AI | <a href=mailto:hello@katara.ai>hello@katara.ai</a></footer>,"hello@katara.ai(B,3,direct)"
kayzen.io,,,0,0,,,,
keboola.com,security@keboola.com,A,5,1,direct,https://www.keboola.com/.well-known/security.txt,curity.txt # # We welcome reports from the security-research community. # Report vulnerabilities to security@keboola.com — see our policy below. Contact: mailto:security@keboola.com Policy: https://bu,"security@keboola.com(A,5,direct); billing.uk@keboola.com(B,3,direct); billing.us@keboola.com(B,3,direct); billing@keboola.com(B,3,direct); legal@keboola.com(B,3,direct); talkto@keboola.com(B,3,direct)"
keeping.com,support@keeping.com,B,3,1,direct,https://www.keeping.com/ | https://www.keeping.com/contact-us/ | https://www.keeping.com/vulnerability-disclosure-policy/,"ame=""description"" content=""Feel free to send us a message using this form or by sending an email to support@keeping.com. We&#039;re located in Brooklyn, New York, and are typically available"" /><meta ","support@keeping.com(B,3,direct)"
kernel.ai,info@kernel.ai,B,3,1,direct,https://kernel.ai/,"ter-text align-center-on-mobile"">128 City Road, London, United Kingdom, EC1V 2NX</p><a href=""mailto:info@kernel.ai"" class=""link-4"">info@kernel.ai</a></div><div class=""footer-column""><p class=""footer-t","info@kernel.ai(B,3,direct)"
kertos.io,hello@kertos.io,B,3,1,direct,https://www.kertos.io/en,"site-files.com/678fa5c02d217f5cd1419991/679b50438fee9f028e99dfb7_Logotype.svg"" }, ""email"": ""hello@kertos.io"", ""telephone"": ""+498912081225"", ""address"": { ""@type"": ""PostalAddress"", ""address","hello@kertos.io(B,3,direct); info@kertos.io(B,3,direct)"
kevel.com,evascov@kevel.com,B,3,1,direct,https://www.kevel.com/ | https://www.kevel.com/contact | https://www.kevel.com/security,"js""> </script> <meta name=""google-verification-request"" content=""GooGhywoiu9839t543j0s7543uw1 - add evascov@kevel.com to GA4 Property where the Measurement ID W2CDJ56ZHL is associated with Admin permi","evascov@kevel.com(B,3,direct)"
keywordsai.co,,,0,0,,,,
keywordtool.io,,,0,0,,,,
kiingo.com,websitecontact@kiingo.com,B,3,1,direct,https://kiingo.com/ | https://kiingo.com/contact,"By submitting, you send your information directly to Kiingo. Prefer email? Contact <a href=""mailto:websitecontact@kiingo.com"" data-astro-cid-5f7neqxn>websitecontact@kiingo.com<span class=""sr-only"" dat","websitecontact@kiingo.com(B,3,direct)"
kime.ai,,,0,0,,,,
kinesis.org,contact@kinesis.org,B,3,1,direct,https://kinesis.org/ | https://kinesis.org/.well-known/dnt-policy.txt | https://kinesis.org/.well-known/security.txt,"uilding<br/>Sydney, NSW 1230<br/>Australia</p></div><div><h3>Email and phone</h3><p><a href=""mailto:contact@kinesis.org"" title=""Email Kinesis"">contact@kinesis.org</a><br/>AU: +61 2 5016 3927<br/>US: (","contact@kinesis.org(B,3,direct)"
kiosked.com,,,0,0,,,,
kissterra.com,,,0,0,,,,
kitabh.com,,,0,0,,,,
kive.ai,,,0,0,,,,
kixie.com,security@kixie.com,A,5,1,direct,https://www.kixie.com/privacy-policy/ | https://www.kixie.com/terms/,"f your Registration Information, you agree to notify Kixie immediately at the email address &#8211; security@kixie.com.</p> <h3 class=""wp-block-heading"">7. Your Use of the Service</h3> <p class=""wp-bl","security@kixie.com(A,5,direct); privacy@kixie.com(B,3,direct); support@kixie.com(B,3,direct)"
klarytee.com,,,0,0,,,,
klaviyo.com,abuse@klaviyo.com,A,5,1,direct,https://www.klaviyo.com/contact-us | https://www.klaviyo.com/security | https://www.klaviyo.com/security/,iyo.com/security/bug-reporting&lt;/a&gt;&lt;/li&gt;&lt;li&gt;Report abuse: &lt;a href=\&quot;mailto:abuse@klaviyo.com\&quot;&gt;abuse@klaviyo.com&lt;/a&gt;&lt;/li&gt;&lt;li&gt;Request access to our th,"abuse@klaviyo.com(A,5,direct); reportphishing@klaviyo.com(A,5,direct); security@klaviyo.com(A,5,direct); legal@klaviyo.com(B,3,direct); partners@klaviyo.com(B,3,direct); press@klaviyo.com(B,3,direct)"
kleer.se,,,0,0,,,,
klubi.com.br,,,0,0,,,,
knapsack.cloud,hello@knapsack.cloud,B,3,1,direct,https://www.knapsack.cloud/,"2_link"">Documentation</a><a id=""w-node-_51d8884e-180b-389d-dc19-1738df8a970e-251a1bc8"" href=""mailto:hello@knapsack.cloud?subject=Knapsack%20inquiry"" class=""footer2_link"">Contact us</a><a id=""w-node-_1","hello@knapsack.cloud(B,3,direct)"
knight-solutions.com,it_admin@knight-solutions.com,B,3,1,direct,https://knight-solutions.com/policies,"<a href=""https://www.knight-solutions.com/contact?hsLang=en"" target=""_self"" style=""color: #ffffff;"">it_admin@knight-solutions.com</a></span></p></span></div> </div><!--end widget-span --> </div><!--en","it_admin@knight-solutions.com(B,3,direct); procore@knight-solutions.com(B,3,direct)"
knock.app,support@knock.app,B,3,1,direct,https://knock.app/,"eams. The most powerful notification system you'll never build."",""url"":""https://knock.app"",""email"":""support@knock.app"",""logo"":""https://knock.app/assets/knock-logo.png"",""sameAs"":[""https://twitter.com/k","support@knock.app(B,3,direct)"
knocommerce.com,accounting@knocommerce.com,B,3,1,direct,https://knocommerce.com/privacy-policy/,"t: 400;"">hello@knocommerce.com</span></a><span style=""font-weight: 400;""> or </span><a href=""mailto:accounting@knocommerce.com""><span style=""font-weight: 400;"">accounting@knocommerce.com</span></a><sp","accounting@knocommerce.com(B,3,direct); hello@knocommerce.com(B,3,direct)"
knotch.com,,,0,0,,,,
knowledgegategroup.com,info@knowledgegategroup.com,B,3,1,direct,https://knowledgegategroup.com/contact,"k"" rel=""noopener noreferrer"" tabindex=""0"" data-react-aria-pressable=""true"" role=""link"" href=""mailto:info@knowledgegategroup.com""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""curre","info@knowledgegategroup.com(B,3,direct)"
kobana.com.br,seguranca@kobana.com.br,B,3,1,direct,https://www.kobana.com.br/.well-known/security.txt,"Contact: mailto:seguranca@kobana.com.br Expires: 2027-06-06T00:00:00.000Z Preferred-Languages: pt-BR, en Canonical: https://www.kobana.com.","seguranca@kobana.com.br(B,3,direct)"
kogenta.com,hello@kogenta.com,B,3,1,direct,https://www.kogenta.com/ | https://www.kogenta.com/contact/,"d-small uk-flex-inline uk-flex-middle"" uk-grid><li class=""el-item""> <a class=""el-link"" href=""mailto:hello@kogenta.com"" target=""_blank""><span uk-icon=""icon: mail; width: 35; height: 35;""></span></a></l","hello@kogenta.com(B,3,direct)"
konta.com,info@konta.com,B,3,1,direct,https://konta.com/,"m.com/somoskonta""],""contactPoint"":{""@type"":""ContactPoint"",""contactType"":""customer service"",""email"":""info@konta.com"",""telephone"":""+52 (55) 7005 5271"",""availableLanguage"":[""Spanish"",""Español""]},""address","info@konta.com(B,3,direct)"
korefocus.ai,,,0,0,,,,
kotzilla.io,contact@kotzilla.io,B,3,1,direct,https://kotzilla.io/ | https://kotzilla.io/contact-us,"gnz framer-v-e1xgnz framer-1x2yjm2"" data-framer-name=""Variant 1"" data-highlight=""true"" href=""mailto:contact@kotzilla.io"" target=""_blank"" rel=""noopener"" tabindex=""0"" style=""background-color:rgba(255, 2","contact@kotzilla.io(B,3,direct)"
kourawealth.co.nz,info@kourawealth.co.nz,B,3,1,direct,https://www.kourawealth.co.nz/ | https://www.kourawealth.co.nz/contact | https://www.kourawealth.co.nz/legal,"z"",""logo"":""https://www.kourawealth.co.nz/assets/icons/logo.svg"",""telephone"":""0800 527 547"",""email"":""info@kourawealth.co.nz"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""PO Box 47404, Ponsonby, ","info@kourawealth.co.nz(B,3,direct)"
kpicreatives.com,hello@kpicreatives.com,B,3,1,direct,https://www.kpicreatives.com/contact | https://www.kpicreatives.com/privacy-policy | https://www.kpicreatives.com/terms,"KPI Creatives"", ""url"": ""https://www.kpicreatives.com"", ""telephone"": ""+17476771203"", ""email"": ""hello@kpicreatives.com"", ""address"": { ""@type"": ""PostalAddress"", ""streetAddress"": ""695 Santa Clara Ave"", ""a","hello@kpicreatives.com(B,3,direct)"
kredfeed.com,contacto@kredfeed.com,B,3,1,direct,https://kredfeed.com/,"tus facturas en liquidez. Impulsado por IA."", ""telephone"": ""+523310320161"", ""email"": ""contacto@kredfeed.com"", ""foundingDate"": ""2021"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""Cal","contacto@kredfeed.com(B,3,direct)"
krisp.ai,info@krisp.ai,B,3,1,direct,https://krisp.ai/,"""@type"": ""Organization"", ""@id"": ""https://krisp.ai/#organization"", ""name"": ""Krisp"", ""email"": ""info@krisp.ai"", ""url"": ""https://krisp.ai/"", ""logo"": ""https://krisp.ai/wp-content/uploads/2025/12/krisp_png_","info@krisp.ai(B,3,direct)"
kruncher.ai,info@kruncher.ai,B,3,1,direct,https://kruncher.ai/privacy,"trong>Responsible Person</strong></h3> <ul> <li><strong>Francesco De Liva</strong> (<a href=""mailto:info@kruncher.ai"">info@kruncher.ai</a>) has been assigned responsibility for <strong>overall GDPR co","info@kruncher.ai(B,3,direct); privacy@kruncher.ai(B,3,direct); sales@kruncher.ai(B,3,direct)"
kscope.io,info@kscope.io,B,3,1,direct,https://kscope.io/privacy | https://kscope.io/terms,"this Privacy Policy, You can contact us:</p> <ul> <li>By email: <a href=""mailto:info@kscope.io"">info@kscope.io</a></li> <li>By phone: <a href=""tel:+18665726731"">866-572-6731</a></li>","info@kscope.io(B,3,direct); sales@kscope.io(B,3,direct)"
kubit.ai,,,0,0,,,,
